branch	sha12	reason
task/iter-133-batch-c133	2becdac3022d	ledger-stale
task/iter-133-batch-c133-dual	144eed52739e	ledger-stale
task/iter-133-batch-c133-dual-dual	d0db5db70f96	ledger-stale
task/iter-134-batch-c134	37f00fcb6f19	exploration-pruned-keep10
task/iter-134-batch-c134-fix	abb9cbbaf440	ledger-stale
task/iter-135-batch-c135	78e003d9b470	exploration-pruned-keep10
task/iter-135-batch-c135-fix	8232281fca79	ledger-stale
task/iter-135-batch-c135-fix-dual	d17e654306cd	merged-into-main
task/iter-136-batch-c136	01559f1a3c3c	ledger-stale
task/iter-136-batch-c136-dual	1b97a90a2981	ledger-stale
task/iter-136-batch-c136-dual-dual	f27fa651e011	ledger-stale
task/iter-136-batch-c136-dual-dual-dual	682931b1a74e	exploration-pruned-keep10
task/iter-137-batch-c137	b040b621aaea	exploration-pruned-keep10
task/iter-137-batch-c137-fix	edf6f4d56852	ledger-stale
task/iter-137-batch-c137-fix-dual	aec6dfbaa4d9	ledger-stale
task/iter-138-batch-c138	0c99fc51b1b3	exploration-pruned-keep10
task/iter-138-batch-c138-fix	ca0256dcaa21	exploration-pruned-keep10
task/iter-138-batch-c138-fix-d1	41f423b29412	ledger-stale
task/iter-138-batch-c138-fix-d1-dual	e494cd95063e	exploration-pruned-keep10
task/iter-139-batch-c139	d110d5413515	exploration-pruned-keep10
task/iter-139-batch-c139-fix	7807a3afa08c	ledger-stale
task/iter-139-batch-c139-fix-dual	16871f117478	ledger-stale
task/iter-140-batch-c140	264bd5a1a36a	ledger-stale
task/iter-140-batch-c140-dual	b99ceb54e6a6	exploration-pruned-keep10
task/iter-141-batch-c141	56638ccee4d5	exploration-pruned-keep10
task/iter-141-batch-c141-fix	f479d00bbc50	exploration-pruned-keep10
task/iter-141-batch-c141-fix-d1	7a4c3c6107b6	merged-into-main
task/iter-142-batch-c142	670caf2cd1cf	exploration-pruned-keep10
task/iter-142-batch-c142-fix	0bf89cb78d4f	exploration-pruned-keep10
task/iter-142-batch-c142-fix-d1	a00b59d8e545	exploration-pruned-keep10
task/iter-142-batch-c142-fix-d1-d2	20298aec9bed	ledger-superseded
task/iter-142-batch-c142-fix-d1-d2-dual	26205af19883	exploration-pruned-keep10
task/iter-143-batch-c143	97d21aaa7ccf	exploration-pruned-keep10
task/iter-143-batch-c143-fix	0b395d3c71b8	merged-into-main
task/iter-144-batch-c144	3e652efdd37e	exploration-pruned-keep10
task/iter-144-batch-c144-fix	1109c7033cc1	ledger-stale
task/iter-144-batch-c144-fix-dual	446cb28e6b39	exploration-pruned-keep10
task/iter-145-batch-c145	bace35f5382d	exploration-pruned-keep10
task/iter-145-batch-c145-fix	4368a93224cb	exploration-pruned-keep10
task/iter-145-batch-c145-fix-d1	d67cbb6073f8	ledger-superseded
task/iter-145-batch-c145-fix-d1-dual	99294aa8f6c3	exploration-pruned-keep10
task/iter-146-batch-c146	03361e385f1d	exploration-pruned-keep10
task/iter-146-batch-c146-fix	fbd12ac0ae71	exploration-pruned-keep10
task/iter-146-batch-c146-fix-d1	2520fc9c2c0c	exploration-pruned-keep10
task/iter-146-batch-c146-fix-d1-d2	89d93b20d949	merged-into-main
task/iter-147-batch-c147	d49d75f12744	merged-into-main
task/iter-148-batch-c148	03464b87844a	ledger-stale
task/iter-148-batch-c148-dual	9fa3c7ffa029	exploration-pruned-keep10
task/iter-149-batch-c149	0ed13c56506f	exploration-pruned-keep10
task/iter-149-batch-c149-fix	eb11a0c9bbb6	exploration-pruned-keep10
task/iter-149-batch-c149-fix-d1	297bf8d0455d	ledger-stale
task/iter-149-batch-c149-fix-d1-dual	7e6f1186b0f9	exploration-pruned-keep10
task/iter-150-batch-c150	3defa1d82857	exploration-pruned-keep10
task/iter-150-batch-c150-fix	f1740b3d84a8	merged-into-main
task/iter-151-batch-c151	58017430cec7	exploration-pruned-keep10
task/iter-151-batch-c151-fix	dbaf532c0f26	exploration-pruned-keep10
task/iter-151-batch-c151-fix-d1	b1a476a05fc0	ledger-stale
task/iter-151-batch-c151-fix-d1-dual	01beb08cdc93	exploration-pruned-keep10
task/iter-152-batch-c152	eebc7b8fbeac	exploration-pruned-keep10
task/iter-152-batch-c152-fix	67269fef45dd	merged-into-main
task/iter-153-batch-c153	f41eab35673e	exploration-pruned-keep10
task/iter-153-batch-c153-fix	2bec168f9604	exploration-pruned-keep10
task/iter-153-batch-c153-fix-d1	1beeb1bfce1c	merged-into-main
task/iter-154-batch-c154	6a42a58eb31f	exploration-pruned-keep10
task/iter-154-batch-c154-fix	5af9158628f5	ledger-stale
task/iter-154-batch-c154-fix-dual	a5213722b85c	exploration-pruned-keep10
task/iter-155-batch-c155	5c10ace7165e	exploration-pruned-keep10
task/iter-155-batch-c155-fix	227c05ea07b2	merged-into-main
task/iter-156-batch-c156	c7686418a938	exploration-pruned-keep10
task/iter-156-batch-c156-fix	b63d32b343ae	exploration-pruned-keep10
task/iter-156-batch-c156-fix-d1	cc2878be16c7	exploration-pruned-keep10
task/iter-156-batch-c156-fix-d1-d2	9989b78a0c8d	exploration-pruned-keep10
task/iter-157-batch-c157	5ac17105fc38	exploration-pruned-keep10
task/iter-157-batch-c157-fix	ce9f6ea4a60c	merged-into-main
task/iter-158-batch-c158	25ddbd25e895	exploration-pruned-keep10
task/iter-158-batch-c158-fix	8555ce760cd8	ledger-stale
task/iter-158-batch-c158-fix-dual	5709bc5e5fcd	exploration-pruned-keep10
task/iter-159-batch-c159	ceffdf55afcd	exploration-pruned-keep10
task/iter-159-batch-c159-fix	c4bc52cbbfd1	exploration-pruned-keep10
